id,enerc_kcal,water,protain,protainb_by_amino,lipid,fantnlea,fasat,fams,fapu,carbohydrate,choavlm,fibsol,fibins,fibtg,ash,ne,k,ca,mg,p,fe,zn,cu,mn,i_d,se,cr,mo,retol,carta,cartb,crypxb,cartbeq,vita_rae,vitd,tocpha,tocphb,tocphg,tocphd,vitk,thiahcl,ribf,nia,vitb6a,vitb12,fol,pantac,biot,vitc,nacl_eq,alc,nitra,thebrn,caffn,tan,polyphent,aceac,food_id
39,348,13.5,8.5,7.8,1.1,-1,-0.25,-0.1,-0.56,71.9,-71.6,0.6,1.8,2.4,5,1700,130,17,19,70,0.6,0.4,0.11,0.5,0,10,1,12,0,0,0,0,0,0,0,0.3,0.2,0,0,0,0.08,0.02,0.9,0.04,0,9,0.45,1.3,0,4.3,-,-,-,-,-,-,-,39
40,126,70,3.1,-2.9,0.5,-0.4,-0.11,-0.04,-0.25,25.8,-25.7,0.3,0.4,0.7,0.6,210,14,7,4,24,0.2,0.1,0.04,0.14,-,-,-,-,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0.02,0.01,0.2,0.01,0,2,0.14,-,0,0.5,-,-,-,-,-,-,-,40
41,356,12.5,9.5,8.6,1.1,-1,-0.25,-0.1,-0.56,72.7,71.5,0.7,1.8,2.5,4.2,1500,120,17,22,70,0.6,0.4,0.12,0.44,0,16,1,14,0,0,0,0,0,0,0,0.3,0.2,0,0,0,0.08,0.02,0.9,0.03,0,8,0.7,1.3,0,3.8,-,-,-,-,-,-,-,41
42,127,70,3.5,3.3,0.4,-0.3,-0.09,-0.04,-0.2,25.8,25.6,0.3,0.6,0.9,0.3,85,5,6,5,24,0.2,0.2,0.05,0.12,0,6,1,3,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0.02,0.01,0.2,Tr,0,2,0.25,0.4,0,0.2,-,-,-,-,-,-,-,42
43,342,14,9.3,8.4,1.5,1.4,0.38,0.23,0.75,68.9,69.7,1.2,0.6,1.8,6.3,2300,110,20,23,70,0.6,0.4,0.14,0.43,1,22,1,16,0,0,0,0,0,0,0,0.1,0.1,0.1,0,0,0.06,0.02,0.9,0.03,0,10,0.52,1.1,0,5.8,-,-,-,-,-,-,-,43
44,127,70,3.5,-3.2,0.6,-0.6,-0.15,-0.09,-0.3,25.5,-24.3,0.5,0.5,1,0.4,130,5,6,4,23,0.2,0.1,0.05,0.12,-,-,-,-,0,0,0,0,0,0,0,Tr,Tr,0,0,0,0.03,0.01,0.2,0,0,2,0.16,-,0,0.3,-,-,-,-,-,-,-,44
45,281,33,8.6,8.3,1.2,-1,-0.28,-0.11,-0.61,55.7,52.2,0.7,1.4,2.1,1.5,410,350,21,13,66,0.5,0.4,0.09,0.35,Tr,33,1,20,0,0,0,0,0,0,0,0.2,0.1,0,0,0,0.02,0.02,0.6,0.02,0,8,0.55,1,0,1,-,-,-,-,-,-,-,45
46,149,65,4.9,4.6,0.6,-0.5,-0.14,-0.05,-0.31,29.2,27.7,0.5,0.8,1.3,0.3,70,60,20,7,29,0.3,0.2,0.05,0.18,0,17,Tr,5,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0.01,0.01,0.2,0,Tr,3,0.25,0.5,0,0.2,-,-,-,-,-,-,-,46
47,198,54,5.3,4.6,1.7,-1.5,-0.39,-0.15,-0.86,38.4,-35.9,0.7,1.2,1.9,0.6,170,86,9,10,100,0.3,0.2,0.07,0.29,-,-,-,-,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0.01,0.01,0.4,0.02,0,4,0.27,-,0,0.4,-,-,-,-,-,-,-,47
48,365,13,10.5,-9.1,1.6,-1.4,-0.37,-0.14,-0.81,73,-67.8,1.6,1.3,2.9,1.9,500,310,18,24,120,0.7,0.6,0.16,0.45,-,-,-,-,0,0,0,0,0,0,0,0.2,0.1,0,0,0,0.03,0.03,1,0.05,0,11,0.78,-,0,1.3,-,-,-,-,-,-,-,48
49,140,67,4.1,-3.5,0.5,-0.4,-0.11,-0.04,-0.25,28.1,-26.1,0.7,0.8,1.5,0.3,75,40,10,9,39,0.3,0.2,0.05,0.17,-,-,-,-,0,0,0,0,0,0,0,Tr,Tr,0,0,0,0.01,0.01,0.2,0,Tr,2,0.24,-,0,0.2,-,-,-,-,-,-,-,49
50,284,32.3,9.2,-7.9,2,-1.7,-0.46,-0.18,-1.02,54.2,-52.8,1.3,0.8,2.1,2.3,810,340,11,50,65,0.7,1.1,0.18,0.69,-,-,-,-,0,-,-,-,0,0,0,0.3,0.2,0,0,0,0.02,0.04,0.8,0.11,0,15,0.63,-,0,2.1,-,-,-,-,-,-,-,50
51,147,65.5,5.2,-4.5,0.8,-0.7,-0.18,-0.07,-0.41,28,-27.3,0.8,0.7,1.5,0.5,170,80,9,28,28,0.4,0.6,0.1,0.37,-,-,-,-,0,-,-,-,0,0,0,0.2,0.1,0,0,0,0.01,0.02,0.2,0.03,0,6,0.23,-,0,0.4,-,-,-,-,-,-,-,51
52,351,13.7,12,-10.4,1.7,-1.5,-0.39,-0.15,-0.86,67.8,-67.3,1.3,0.8,2.1,4.8,1700,130,23,22,100,1.5,0.4,0.11,0.38,-,-,-,-,0,-,-,-,0,0,0,0.1,0.1,0,0,0,0.12,0.05,1.1,0.05,0,8,0.49,-,0,4.3,-,-,-,-,-,-,-,52
53,148,65,5.2,-4.5,0.6,-0.5,-0.14,-0.05,-0.31,28.6,-27.7,0.6,0.9,1.5,0.6,200,10,11,8,36,0.5,0.1,0.05,0.16,-,-,-,-,0,-,-,-,0,0,0,Tr,Tr,0,0,0,0.02,0.02,0.2,0.01,0,3,0.18,-,0,0.5,-,-,-,-,-,-,-,53
54,445,2,10.1,8.8,16.7,16.3,7.31,6.02,2.25,63.5,63,1.6,0.9,2.5,7.7,2500,260,430,29,110,1,0.5,0.13,0.82,-,-,-,-,0,0,0,0,0,0,0,3.1,0.3,3.1,2.5,1,1.46,1.67,1,0.06,0,12,0.41,-,0,6.4,-,-,-,-,-,-,-,54
55,458,3,10.1,-,19.1,18.6,8.46,7.15,2.2,61.4,-60.4,1.4,1,2.4,6.4,2200,150,230,25,110,0.9,0.5,0.16,0.53,2,16,7,16,0,0,13,1,14,1,0,2.2,0.3,2.3,2.5,3,0.55,0.83,0.9,0.05,Tr,10,0.44,1.8,Tr,5.6,-,-,-,-,-,-,-,55
56,356,10,10.3,-,5.2,4.9,1.26,1.86,1.55,67.1,-65.7,1.4,0.9,2.3,7.4,2700,260,110,25,110,0.8,0.4,0.11,0.66,13,8,3,16,Tr,0,5,0,5,1,0,1.3,0.3,3.8,2.2,3,0.21,0.04,1,0.05,Tr,14,0.37,2.2,0,6.9,-,-,-,-,-,-,-,56
57,448,5,10.7,-,19.7,19.3,8.72,7.42,2.28,56.9,-,1.3,1,2.3,7.7,2700,210,190,27,120,1.3,0.6,0.15,0.57,-,-,-,-,3,61,270,6,300,28,Tr,2.4,0.4,3.5,3.6,7,0.68,0.53,1,0.07,0.2,21,0.52,-,1,6.9,-,-,-,-,-,-,-,57
58,436,10,8.4,-,18.9,15.8,5.36,6.92,2.86,58.1,-,0.9,1.5,2.4,4.6,1500,190,190,28,74,1.1,0.4,0.13,0.69,-,-,-,-,0,6,75,0,78,7,0,2.2,0.4,2.4,2,14,0.56,0.72,0.8,0.04,Tr,13,0.4,-,1,3.8,-,-,-,-,-,-,-,58
59,342,15,9,-,6.4,6,1.66,2.68,1.38,62.2,-,1.6,1.3,2.9,7.4,2700,270,95,29,110,1,0.5,0.13,0.8,-,-,-,-,1,24,100,2,110,10,0,0.9,0.1,2.5,1.6,8,0.22,0.24,1.5,0.07,0.1,23,0.41,-,1,6.9,-,-,-,-,-,-,-,59
60,451,5,10.9,-,20.1,19.4,9.08,7.15,2.27,56.6,-,1.3,0.6,1.9,7.4,2700,180,180,32,230,1.1,0.6,0.12,0.66,-,-,-,-,0,0,56,0,56,5,0.2,2.2,0.2,3.1,2.4,7,0.24,0.3,1.1,0.05,0.2,15,0.41,-,1,6.9,-,-,-,-,-,-,-,60
63,379,11.2,12.2,11.1,1.9,-1.7,-0.45,-0.17,-0.99,73.9,73.5,0.7,2,2.7,0.8,1,200,18,55,130,1.4,1.5,0.28,0.82,0,63,1,53,0,-,-,-,9,1,0,0.3,0.2,0,0,0,0.19,0.06,2.3,0.11,0,13,0.66,4,0,0,-,-,-,-,-,-,-,63
64,165,60.5,5.4,4.9,0.9,-0.8,-0.21,-0.08,-0.47,32,31.2,0.5,1.2,1.7,1.2,460,14,8,20,52,0.7,0.7,0.14,0.35,0,32,1,12,0,-,-,-,0,0,0,0.1,0.1,0,0,0,0.06,0.03,0.6,0.02,0,5,0.28,1.6,0,1.2,-,-,-,-,-,-,-,64
65,247,42,7.8,7.3,1.9,1.7,0.4,0.44,0.76,46.9,46.1,0.8,0.7,1.5,1.4,470,76,12,18,73,0.5,0.5,0.12,0.32,-,-,-,-,0,0,0,0,0,0,-,0.1,Tr,0.2,Tr,0,0.05,0.04,1.1,0.05,0,9,0.27,-,0,1.2,-,-,-,-,-,-,-,65
