id,name,nutritive_id
305,だいず　［豆腐・油揚げ類］　凍り豆腐　乾　,305
306,だいず　［豆腐・油揚げ類］　凍り豆腐　水煮　,306
307,だいず　［豆腐・油揚げ類］　豆腐よう　　,307
308,だいず　［豆腐・油揚げ類］　豆腐竹輪　蒸し　,308
309,だいず　［豆腐・油揚げ類］　豆腐竹輪　焼き　,309
310,だいず　［豆腐・油揚げ類］　ろくじょう豆腐　　,310
311,だいず　［納豆類］　糸引き納豆　　,311
312,だいず　［納豆類］　挽きわり納豆　　,312
313,だいず　［納豆類］　五斗納豆　　,313
314,だいず　［納豆類］　寺納豆　　,314
315,だいず　［その他］　おから　生　,315
316,だいず　［その他］　おから　乾燥　,316
317,だいず　［その他］　豆乳　豆乳　,317
318,だいず　［その他］　豆乳　調製豆乳　,318
319,だいず　［その他］　豆乳　豆乳飲料・麦芽コーヒー　,319
320,だいず　［その他］　大豆たんぱく　粒状大豆たんぱく　　,320
321,だいず　［その他］　大豆たんぱく　濃縮大豆たんぱく　　,321
322,だいず　［その他］　大豆たんぱく　分離大豆たんぱく　塩分無調整タイプ　,322
323,だいず　［その他］　大豆たんぱく　分離大豆たんぱく　塩分調整タイプ　,323
324,だいず　［その他］　大豆たんぱく　繊維状大豆たんぱく　　,324
325,だいず　［その他］　湯葉　生　　,325
326,だいず　［その他］　湯葉　干し　乾　,326
327,だいず　［その他］　湯葉　干し　湯戻し　,327
328,だいず　［その他］　金山寺みそ　　　,328
329,だいず　［その他］　ひしおみそ　　　,329
330,だいず　［その他］　テンペ　　　,330
331,つるあずき　全粒　乾　　　,331
332,つるあずき　全粒　ゆで　　　,332
333,ひよこまめ　全粒　乾　　　,333
334,ひよこまめ　全粒　ゆで　　　,334
335,ひよこまめ　全粒　フライ　味付け　　　,335
336,べにばないんげん　全粒　乾　　　,336
337,べにばないんげん　全粒　ゆで　　　,337
338,らいまめ　全粒　乾　　　,338
339,らいまめ　全粒　ゆで　　　,339
340,りょくとう　全粒　乾　　　,340
