id,name
340,りょくとう　全粒　乾　　　
341,りょくとう　全粒　ゆで　　　
342,レンズまめ　全粒　乾　　　
343,レンズまめ　全粒　ゆで　　　
344,アーモンド　乾　　　
345,アーモンド　フライ 味付け　　　
346,アーモンド　いり　無塩　　　
347,あさ　乾　　　
348,あまに　いり　
349,えごま　乾　　　
350,カシューナッツ　フライ　味付け　　　
351,かぼちゃ　いり　味付け　　　
352,かや　いり　　　
353,ぎんなん　生　　　
354,ぎんなん　ゆで　　　
355,（くり類）　日本ぐり　生　　
356,（くり類）　日本ぐり　ゆで　　
357,（くり類）　日本ぐり　甘露煮　　
358,（くり類）　中国ぐり　甘ぐり　　
359,くるみ　いり　　　
360,けし　乾　　　
361,ココナッツ　ココナッツパウダー　　　　
362,ごま　乾　　　
363,ごま　いり　　　
364,ごま　むき　　　
365,ごま　ねり　　　
366,しい　生　　　
367,すいか　いり　味付け　　　
368,とち　蒸し　　　
369,はす　未熟　生　　　
370,はす　成熟　乾　　　
371,はす　成熟　ゆで　　　
372,ひし　生　　　
373,ピスタチオ　いり　味付け　　　
374,ひまわり　フライ　味付け　　　
376,ブラジルナッツ　フライ　味付け　　　
377,ヘーゼルナッツ　フライ　味付け　　　
379,ペカン　フライ　味付け　　　
380,マカダミアナッツ　いり　味付け　　　
381,まつ　生　　　
382,まつ　いり　　　
383,らっかせい　乾　大粒種　　
384,らっかせい　乾　小粒種　　
385,らっかせい　いり　大粒種　　
386,らっかせい　いり　小粒種　　
387,らっかせい　バターピーナッツ　　　
388,らっかせい　ピーナッツバター　　　
389,アーティチョーク　花らい　生　　　
390,アーティチョーク　花らい　ゆで　　　
391,あさつき　葉　生　　　
392,あさつき　葉　ゆで　　　
393,あしたば　茎葉　生　　　
394,あしたば　茎葉　ゆで　　　
395,アスパラガス　若茎　生　　　
396,アスパラガス　若茎　ゆで　　　
397,アスパラガス　若茎　油いため　　　
398,アスパラガス　水煮缶詰　　　
399,アロエ　葉　生　　　
400,いんげんまめ　さやいんげん　若ざや　生　　
401,いんげんまめ　さやいんげん　若ざや　ゆで　　
402,（うど類）　うど　茎　生　　
403,（うど類）　うど　茎　水さらし　　
404,（うど類）　やまうど　茎　生　　
405,えだまめ　生　　　
406,えだまめ　ゆで　　　
407,えだまめ　冷凍　　　
408,エンダイブ　葉　生　　　
409,（えんどう類）　トウミョウ　茎葉　生　　
410,（えんどう類）　トウミョウ　芽ばえ　生　　
411,（えんどう類）　トウミョウ　芽ばえ　ゆで　　
412,（えんどう類）　トウミョウ　芽ばえ　油いため　　
413,（えんどう類）　さやえんどう　若ざや　生　　
414,（えんどう類）　さやえんどう　若ざや　ゆで　　
415,（えんどう類）　スナップえんどう　若ざや　生　　
416,（えんどう類）　グリンピース　生　　
417,（えんどう類）　グリンピース　ゆで　　
418,（えんどう類）　グリンピース　冷凍　　
419,（えんどう類）　グリンピース　水煮缶詰　　
420,おおさかしろな　葉　生　　　
421,おおさかしろな　葉　ゆで　　　
422,おおさかしろな　塩漬　　　
423,おかひじき　茎葉　生　　　
424,おかひじき　茎葉　ゆで　　　
425,オクラ　果実　生　　　
426,オクラ　果実　ゆで　　　
427,かぶ　葉　生　　　
428,かぶ　葉　ゆで　　　
429,かぶ　根　皮つき　生　　　
430,かぶ　根　皮つき　ゆで　　　
431,かぶ　根　皮むき　生　　　
432,かぶ　根　皮むき　ゆで　　　
433,かぶ　漬物　塩漬　葉　
434,かぶ　漬物　塩漬　根　皮つき　
435,かぶ　漬物　塩漬　根　皮むき　
436,かぶ　漬物　ぬかみそ漬　葉　
437,かぶ　漬物　ぬかみそ漬　根　皮つき　
438,かぶ　漬物　ぬかみそ漬　根　皮むき　
439,（かぼちゃ類）　日本かぼちゃ　果実　生　　
440,（かぼちゃ類）　日本かぼちゃ　果実　ゆで　　
441,（かぼちゃ類）　西洋かぼちゃ　果実　生　　
442,（かぼちゃ類）　西洋かぼちゃ　果実　ゆで　　
443,（かぼちゃ類）　西洋かぼちゃ　果実　焼き　　
444,（かぼちゃ類）　西洋かぼちゃ　果実　冷凍　　
445,（かぼちゃ類）　そうめんかぼちゃ　果実　生　　
446,からしな　葉　生　　　
447,からしな　塩漬　　 　
448,カリフラワー　花序　生　　　
449,カリフラワー　花序　ゆで　　　
450,かんぴょう　乾　　　
451,かんぴょう　ゆで　　　
452,きく　花びら　生　　　
453,きく　花びら　ゆで　　　
454,きく　菊のり　　　
455,（キャベツ類）　キャベツ　結球葉　生　　
456,（キャベツ類）　キャベツ　結球葉　ゆで　　
457,（キャベツ類）　キャベツ　結球葉　油いため　　
458,（キャベツ類）　グリーンボール　結球葉　生　　
459,（キャベツ類）　レッドキャベツ　結球葉　生　　
460,きゅうり　果実　生　　　
461,きゅうり　漬物　塩漬　　
462,きゅうり　漬物　しょうゆ漬　　
463,きゅうり　漬物　ぬかみそ漬　　
464,きゅうり　漬物　ピクルス　スイート型　
465,きゅうり　漬物　ピクルス　サワー型　
466,ぎょうじゃにんにく　葉　生　　　
467,キンサイ　茎葉　生　　　
468,キンサイ　茎葉　ゆで　　　
469,クレソン　茎葉　生　　　
470,くわい　塊茎　生　　　
471,くわい　塊茎　ゆで　　　
472,ケール　葉　生　　　
473,コールラビ　球茎　生　　　
474,コールラビ　球茎　ゆで　　　
475,こごみ　若芽　生　　　
476,ごぼう　根　生　　　
477,ごぼう　根　ゆで　　　
478,こまつな　葉　生　　　
479,こまつな　葉　ゆで　　　
480,ザーサイ 　漬物　　　
481,さんとうさい　葉　生　　　
482,さんとうさい　葉　ゆで　　　
483,さんとうさい　塩漬　　　
484,しかくまめ　若ざや　生　　　
485,ししとう　果実　生　　　
486,ししとう　果実　油いため　　　
487,しそ　葉　生　　　
488,しそ　実　生　　　
489,じゅうろくささげ　若ざや　生　　　
490,じゅうろくささげ　若ざや　ゆで　　　
491,しゅんぎく　葉　生　　　
492,しゅんぎく　葉　ゆで　　　
493,じゅんさい　若葉　水煮びん詰　　　
494,（しょうが類）　葉しょうが　根茎　生　　
495,（しょうが類）　しょうが　根茎　生　　
496,（しょうが類）　しょうが　漬物　酢漬　
497,（しょうが類）　しょうが　漬物　甘酢漬　
498,しろうり　果実　生　　　
499,しろうり　漬物　塩漬　　
500,しろうり　漬物　奈良漬　　
501,ずいき　生ずいき　生　　　
502,ずいき　生ずいき　ゆで　　　
503,ずいき　干しずいき　乾　　　
504,ずいき　干しずいき　ゆで　　　
505,すぐきな　葉　生　　　
506,すぐきな　根　生　　　
507,すぐきな　すぐき漬　　　
508,ズッキーニ　果実　生　　　
509,せり　茎葉　生　　　
510,せり　茎葉　ゆで　　　
511,セロリ　葉柄　生　　　
512,ぜんまい　生ぜんまい　若芽　生　　
513,ぜんまい　生ぜんまい　若芽　ゆで　　
514,ぜんまい　干しぜんまい　干し若芽　乾　　
515,ぜんまい　干しぜんまい　干し若芽　ゆで　　
516,そらまめ　未熟豆　生　　　
517,そらまめ　未熟豆　ゆで　　　
518,タアサイ　葉　生　　　
519,タアサイ　葉　ゆで　　　
520,（だいこん類）　かいわれだいこん　芽ばえ　生　　
521,（だいこん類）　葉だいこん　葉　生　　
522,（だいこん類）　だいこん　葉　生　　
523,（だいこん類）　だいこん　葉　ゆで　　
524,（だいこん類）　だいこん　根　皮つき　生　　
525,（だいこん類）　だいこん　根　皮つき　ゆで　　
526,（だいこん類）　だいこん　根　皮むき　生　　
527,（だいこん類）　だいこん　根　皮むき　ゆで　　
528,（だいこん類）　切干しだいこん　乾　
529,（だいこん類）　切干しだいこん　ゆで　　
530,（だいこん類）　切干しだいこん　油いため　　
531,（だいこん類）　漬物　ぬかみそ漬　　
532,（だいこん類）　漬物　たくあん漬　塩押しだいこん漬　
533,（だいこん類）　漬物　たくあん漬　干しだいこん漬　
534,（だいこん類）　漬物　守口漬　　
535,（だいこん類）　漬物　べったら漬　　
536,（だいこん類）　漬物　みそ漬　　
537,（だいこん類）　漬物　福神漬　　
538,（たいさい類）　つまみな　葉　生　　
